run_id,timestamp,dataset_path,dataset_name,total_rows,has_ground_truth,model_count,best_model_by_f1,best_f1,output_folder
20260608_005525_batch_test_sample,20260608_005525,F:\Capstone Project\prompt-injection-detector\datasets\examples\batch_test_sample.csv,batch_test_sample.csv,20,True,6,logistic_regression,1.000000,reports\batch_evaluation\runs\20260608_005525_batch_test_sample
20260611_145846_Prompt_INJECTION_And_Benign_DATASET,20260611_145846,F:\Tải về\archive (1)\Prompt_INJECTION_And_Benign_DATASET.jsonl,Prompt_INJECTION_And_Benign_DATASET.jsonl,500,True,6,random_forest,0.992063,reports\batch_evaluation\runs\20260611_145846_Prompt_INJECTION_And_Benign_DATASET
20260611_155907_Prompt_INJECTION_And_Benign_DATASET,20260611_155907,F:\Tải về\archive (1)\Prompt_INJECTION_And_Benign_DATASET.jsonl,Prompt_INJECTION_And_Benign_DATASET.jsonl,500,True,6,random_forest,0.992063,reports\batch_evaluation\runs\20260611_155907_Prompt_INJECTION_And_Benign_DATASET
20260611_184252_transformer_v2_eval,20260611_184252,F:\Tải về\archive (1)\Prompt_INJECTION_And_Benign_DATASET.jsonl,Prompt_INJECTION_And_Benign_DATASET.jsonl,500,True,6,roberta,1.000000,reports\batch_evaluation\runs\20260611_184252_transformer_v2_eval
20260611_195048_deepset_test,20260611_195048,F:\Capstone Project\prompt-injection-detector\datasets\custom\deepset_test.csv,deepset_test.csv,116,True,6,random_forest,0.983607,reports\batch_evaluation\runs\20260611_195048_deepset_test
20260613_174310_test_dataset_moi,20260613_174310,F:\Tải về\archive (1)\Prompt_INJECTION_And_Benign_DATASET.jsonl,Prompt_INJECTION_And_Benign_DATASET.jsonl,500,True,7,roberta,1.000000,reports\batch_evaluation\runs\20260613_174310_test_dataset_moi
20260613_175359_PIDTC_100_all_models,20260613_175359,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC.csv,PIDTC.csv,120949,False,7,,,reports\batch_evaluation\runs\20260613_175359_PIDTC_100_all_models
20260613_180259_PIDTC_sample_debug,20260613_180259,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC_sample_100.csv,PIDTC_sample_100.csv,100,False,1,,,reports\batch_evaluation\runs\20260613_180259_PIDTC_sample_debug
20260613_180447_PIDTC_sample_traditional,20260613_180447,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC_sample_100.csv,PIDTC_sample_100.csv,100,False,3,,,reports\batch_evaluation\runs\20260613_180447_PIDTC_sample_traditional
20260613_180513_PIDTC_sample_distilbert_v3,20260613_180513,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC_sample_100.csv,PIDTC_sample_100.csv,100,False,1,,,reports\batch_evaluation\runs\20260613_180513_PIDTC_sample_distilbert_v3
20260613_180538_PIDTC_sample_roberta_v3,20260613_180538,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC_sample_100.csv,PIDTC_sample_100.csv,100,False,1,,,reports\batch_evaluation\runs\20260613_180538_PIDTC_sample_roberta_v3
20260613_180617_PIDTC_sample_xlm_roberta_v3,20260613_180617,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC_sample_100.csv,PIDTC_sample_100.csv,100,False,1,,,reports\batch_evaluation\runs\20260613_180617_PIDTC_sample_xlm_roberta_v3
20260613_181346_PIDTC_direct_100_traditional,20260613_181346,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC.csv,PIDTC.csv,100,False,3,,,reports\batch_evaluation\runs\20260613_181346_PIDTC_direct_100_traditional
20260613_181939_PIDTC_direct_100_distilbert_v3,20260613_181939,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC.csv,PIDTC.csv,100,False,1,,,reports\batch_evaluation\runs\20260613_181939_PIDTC_direct_100_distilbert_v3
20260613_182055_PIDTC_direct_100_roberta_v3,20260613_182055,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC.csv,PIDTC.csv,100,False,1,,,reports\batch_evaluation\runs\20260613_182055_PIDTC_direct_100_roberta_v3
20260613_182905_PIDTC_direct_100_xlm_roberta_v3,20260613_182905,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC.csv,PIDTC.csv,100,False,1,,,reports\batch_evaluation\runs\20260613_182905_PIDTC_direct_100_xlm_roberta_v3
20260613_183249_PIDTC_direct_100_no_hybrid,20260613_183249,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC.csv,PIDTC.csv,100,False,6,,,reports\batch_evaluation\runs\20260613_183249_PIDTC_direct_100_no_hybrid
20260613_183949_PIDTC_direct_100_no_hybrid_precision_fix,20260613_183949,F:\Capstone Project\prompt-injection-detector\datasets\external\PIDTC.csv,PIDTC.csv,100,False,6,,,reports\batch_evaluation\runs\20260613_183949_PIDTC_direct_100_no_hybrid_precision_fix
20260613_192727_threshold_refactor_test_all_models,20260613_192727,F:\Capstone Project\prompt-injection-detector\datasets\test\Prompt_INJECTION_And_Benign_DATASET.jsonl,Prompt_INJECTION_And_Benign_DATASET.jsonl,500,True,6,random_forest,0.994036,reports\batch_evaluation\runs\20260613_192727_threshold_refactor_test_all_models
20260613_194023_vi_train_logistic_regression,20260613_194023,F:\Tải về\VI-EN\VI-EN\vi_train.csv,vi_train.csv,1000,True,1,logistic_regression,0.685402,reports\batch_evaluation\runs\20260613_194023_vi_train_logistic_regression
20260613_194034_vi_train_linear_svm,20260613_194034,F:\Tải về\VI-EN\VI-EN\vi_train.csv,vi_train.csv,1000,True,1,linear_svm,0.677519,reports\batch_evaluation\runs\20260613_194034_vi_train_linear_svm
20260613_194413_vi_train_random_forest,20260613_194413,F:\Tải về\VI-EN\VI-EN\vi_train.csv,vi_train.csv,1000,True,1,random_forest,0.649046,reports\batch_evaluation\runs\20260613_194413_vi_train_random_forest
20260613_194436_vi_train_distilbert_v3,20260613_194436,F:\Tải về\VI-EN\VI-EN\vi_train.csv,vi_train.csv,1000,True,1,distilbert_v3,0.785802,reports\batch_evaluation\runs\20260613_194436_vi_train_distilbert_v3
20260613_194500_vi_train_roberta_v3,20260613_194500,F:\Tải về\VI-EN\VI-EN\vi_train.csv,vi_train.csv,1000,True,1,roberta_v3,0.796231,reports\batch_evaluation\runs\20260613_194500_vi_train_roberta_v3
20260614_052641_transformer_v4_old_test,20260614_052641,F:\Capstone Project\prompt-injection-detector\datasets\test\Prompt_INJECTION_And_Benign_DATASET.jsonl,Prompt_INJECTION_And_Benign_DATASET.jsonl,500,True,6,random_forest,0.976562,reports\batch_evaluation\runs\20260614_052641_transformer_v4_old_test
