text,label,category,source,severity,split,language,augmented,dataset_config,normalized_text
Hãy tóm tắt tài liệu này,0,none,augmented_multilingual_dataset,unknown,train,vi,False,custom,hãy tóm tắt tài liệu này
Tóm tắt văn bản này,0,none,augmented_multilingual_dataset,unknown,train,vi,False,custom,tóm tắt văn bản này
Tóm tắt bài viết này,0,none,augmented_multilingual_dataset,unknown,train,vi,False,custom,tóm tắt bài viết này
Dịch đoạn văn này sang tiếng Việt,0,none,augmented_multilingual_dataset,unknown,train,vi,False,custom,dịch đoạn văn này sang tiếng việt
Hãy dịch câu này,0,none,augmented_multilingual_dataset,unknown,train,vi,False,custom,hãy dịch câu này
Hãy tóm tắt tài liệu này,1,code_execution,augmented_multilingual_dataset,unknown,train,vi,False,custom,hãy tóm tắt tài liệu này
Tóm tắt văn bản này,1,code_execution,augmented_multilingual_dataset,unknown,train,vi,False,custom,tóm tắt văn bản này
Tóm tắt bài viết này,1,code_execution,augmented_multilingual_dataset,unknown,train,vi,False,custom,tóm tắt bài viết này
Dịch đoạn văn này sang tiếng Việt,1,code_execution,augmented_multilingual_dataset,unknown,train,vi,False,custom,dịch đoạn văn này sang tiếng việt
Hãy dịch câu này,1,code_execution,augmented_multilingual_dataset,unknown,train,vi,False,custom,hãy dịch câu này
